Distance_km,Fuel_Price,Time_of_Day,Weather,Vehicle_Type,Actual_Fare_PHP
5.82,?70-79,Rush Hour Evening,Sunny,Single Motor,49
8.61,?40-49,Off-Peak,Sunny,Tricycle,27
2.15,?60-69,Rush Hour Morning,Sunny,Tricycle,17
6.93,?90-99,Rush Hour Evening,Rainy,Single Motor,76
4.41,?60-69,Off-Peak,Rainy,Tricycle,31
1.89,?100 & up,Off-Peak,Sunny,Single Motor,32
11.45,?40-49,Rush Hour Evening,Rainy,Tricycle,43
1.35,?70-79,Rush Hour Morning,Rainy,Single Motor,43
9.19,?30-39,Rush Hour Morning,Sunny,Tricycle,28
7.84,?50-59,Off-Peak,Sunny,Single Motor,56
3.28,?90-99,Off-Peak,Sunny,Tricycle,22
3.97,?60-69,Rush Hour Evening,Rainy,Single Motor,48
13.76,?80-89,Rush Hour Morning,Rainy,Tricycle,41
8.51,?100 & up,Rush Hour Evening,Sunny,Single Motor,68
3.64,?40-49,Off-Peak,Sunny,Single Motor,32
4.68,?70-79,Off-Peak,Rainy,Tricycle,32
0.78,?20-29,Rush Hour Morning,Sunny,Tricycle,13
8.25,?50-59,Rush Hour Evening,Rainy,Single Motor,67
12.81,?80-89,Off-Peak,Sunny,Tricycle,39
10.33,?60-69,Rush Hour Morning,Sunny,Single Motor,68
5.32,?90-99,Off-Peak,Rainy,Tricycle,34
14.99,?30-39,Rush Hour Evening,Sunny,Single Motor,87
1.21,?70-79,Rush Hour Morning,Sunny,Tricycle,18
9.78,?100 & up,Off-Peak,Sunny,Tricycle,35
7.45,?40-49,Rush Hour Morning,Rainy,Single Motor,68
6.03,?80-89,Rush Hour Evening,Sunny,Tricycle,25
10.94,?50-59,Off-Peak,Rainy,Single Motor,80
0.52,?20-29,Rush Hour Evening,Sunny,Single Motor,25
8.88,?60-69,Off-Peak,Rainy,Tricycle,33
12.17,?90-99,Rush Hour Morning,Sunny,Single Motor,79
1.55,?70-79,Rush Hour Evening,Rainy,Tricycle,28
14.28,?100 & up,Off-Peak,Sunny,Single Motor,90
3.73,?30-39,Rush Hour Morning,Sunny,Tricycle,16
6.57,?80-89,Off-Peak,Rainy,Single Motor,66
2.91,?40-49,Rush Hour Evening,Sunny,Tricycle,15
11.76,?50-59,Rush Hour Morning,Sunny,Single Motor,76
9.34,?60-69,Off-Peak,Rainy,Tricycle,35
0.88,?90-99,Rush Hour Morning,Sunny,Single Motor,29
13.52,?20-29,Off-Peak,Rainy,Tricycle,45
4.86,?70-79,Rush Hour Evening,Sunny,Single Motor,46
7.09,?100 & up,Rush Hour Morning,Rainy,Tricycle,39
10.15,?80-89,Off-Peak,Sunny,Single Motor,70
2.47,?30-39,Rush Hour Evening,Sunny,Tricycle,14
12.63,?40-49,Rush Hour Morning,Rainy,Single Motor,84
5.69,?50-59,Off-Peak,Sunny,Tricycle,22
1.04,?60-69,Rush Hour Morning,Rainy,Single Motor,35
14.5,?90-99,Rush Hour Evening,Sunny,Tricycle,44
8.07,?20-29,Off-Peak,Sunny,Single Motor,57
3.49,?70-79,Rush Hour Morning,Sunny,Tricycle,20
